Cs	Cs_prev	Cs_new
0.0	0.0	0.0
0.0	1.0190000000000002e-10	1.018964071242e-10
0.0	3.222360935711579e-09	3.222236269395e-09
0.0	1.019e-07	1.018786602306e-07
1.0190000000000002e-10	0.0	3.581716645679e-15
1.0190000000000002e-10	1.0190000000000002e-10	1.019e-10
1.0190000000000002e-10	3.222360935711579e-09	3.222240211683e-09
1.0190000000000002e-10	1.019e-07	1.01878681568e-07
3.222360935711579e-09	0.0	1.1326401675889999e-13
3.222360935711579e-09	1.0190000000000002e-10	1.02010024026e-10
3.222360935711579e-09	3.222360935711579e-09	3.222360935712e-09
3.222360935711579e-09	1.019e-07	1.018793349802e-07
1.019e-07	0.0	3.58191413118e-12
1.019e-07	1.0190000000000002e-10	1.054894813243e-10
1.019e-07	3.222360935711579e-09	3.226178784411e-09
1.019e-07	1.019e-07	1.019e-07
