,time,cs_1mm,cs_5mm,cs_7mm,cs_9mm
0,0.0,1.019444018004e-10,1.019444018004e-10,1.019444018004e-10,1.019444018004e-10
1,160000.0,1.01944948306e-10,1.019444064928e-10,1.019444044829e-10,1.019444040356e-10
2,320000.0,1.01945358955e-10,1.019444097828e-10,1.019444075121e-10,1.019444078933e-10
3,480000.0,1.019456080322e-10,1.019444151113e-10,1.01944409973e-10,1.019444115113e-10
4,640000.0,1.019458325806e-10,1.019444267377e-10,1.019444121969e-10,1.019444155027e-10
5,800000.0,1.019461410719e-10,1.01944445997e-10,1.019444148612e-10,1.019444207357e-10
6,960000.0,1.019466656949e-10,1.019444718471e-10,1.019444187354e-10,1.019444282616e-10
7,1120000.0,1.019475845987e-10,1.019445025142e-10,1.019444243809e-10,1.01944439326e-10
8,1280000.0,1.019491356933e-10,1.019445363249e-10,1.019444320633e-10,1.019444553462e-10
9,1440000.0,1.019516275007e-10,1.019445719511e-10,1.019444418039e-10,1.019444778718e-10
10,1600000.0,1.019554486412e-10,1.019446084121e-10,1.01944453468e-10,1.019445085461e-10
11,1760000.0,1.019610765014e-10,1.019446450183e-10,1.019444668427e-10,1.019445490805e-10
12,1920000.0,1.019690853028e-10,1.019446812992e-10,1.019444816899e-10,1.019446012407e-10
13,2080000.0,1.019801536423e-10,1.019447169394e-10,1.019444977731e-10,1.019446668362e-10
14,2240000.0,1.019950715639e-10,1.019447517371e-10,1.019445148749e-10,1.019447477163e-10
15,2400000.0,1.020147471597e-10,1.019447855714e-10,1.019445328044e-10,1.01944845769e-10
16,2560000.0,1.020402127061e-10,1.019448183775e-10,1.019445513975e-10,1.019449629202e-10
17,2720000.0,1.020726303283e-10,1.019448501303e-10,1.019445705159e-10,1.019451011331e-10
18,2880000.0,1.021132971847e-10,1.01944880832e-10,1.019445900439e-10,1.019452624062e-10
19,3040000.0,1.021636501597e-10,1.019449105032e-10,1.019446098856e-10,1.019454487711e-10
20,3200000.0,1.022252700546e-10,1.01944939177e-10,1.019446299616e-10,1.0194566229e-10
21,3360000.0,1.022998852664e-10,1.019449668942e-10,1.019446502064e-10,1.019459050521e-10
22,3520000.0,1.023893749463e-10,1.019449937001e-10,1.019446705656e-10,1.019461791705e-10
23,3680000.0,1.024957716321e-10,1.019450196419e-10,1.019446909944e-10,1.019464867775e-10
24,3840000.0,1.026212633511e-10,1.019450447678e-10,1.019447114553e-10,1.019468300218e-10
25,4000000.0,1.027681950716e-10,1.019450691249e-10,1.019447319174e-10,1.019472110634e-10
26,4160000.0,1.029390698541e-10,1.019450927594e-10,1.019447523544e-10,1.019476320702e-10
27,4320000.0,1.031365494925e-10,1.01945115715e-10,1.019447727447e-10,1.01948095214e-10
28,4480000.0,1.033634544354e-10,1.019451380337e-10,1.019447930699e-10,1.019486026663e-10
29,4640000.0,1.036227633124e-10,1.019451597545e-10,1.019448133144e-10,1.019491565952e-10
30,4800000.0,1.03917611982e-10,1.019451809143e-10,1.01944833465e-10,1.019497591613e-10
31,4960000.0,1.042512921223e-10,1.019452015473e-10,1.019448535107e-10,1.019504125147e-10
32,5120000.0,1.046272493849e-10,1.019452216853e-10,1.019448734418e-10,1.019511187916e-10
33,5280000.0,1.050490811373e-10,1.019452413577e-10,1.019448932503e-10,1.019518801118e-10
34,5440000.0,1.055205338188e-10,1.019452605915e-10,1.01944912929e-10,1.019526985752e-10
35,5600000.0,1.060454999362e-10,1.019452794118e-10,1.019449324722e-10,1.019535762596e-10
36,5760000.0,1.06628014728e-10,1.019452978415e-10,1.019449518748e-10,1.019545152186e-10
37,5920000.0,1.072722525237e-10,1.019453159019e-10,1.019449711323e-10,1.019555174784e-10
38,6080000.0,1.079825228267e-10,1.019453336122e-10,1.01944990241e-10,1.019565850369e-10
39,6240000.0,1.087632661481e-10,1.019453509904e-10,1.019450091978e-10,1.019577198608e-10
40,6400000.0,1.096190496184e-10,1.019453680528e-10,1.01945028e-10,1.019589238844e-10
41,6560000.0,1.10554562404e-10,1.019453848145e-10,1.019450466453e-10,1.019601990078e-10
42,6720000.0,1.115746109521e-10,1.019454012893e-10,1.01945065132e-10,1.019615470957e-10
43,6880000.0,1.126841140897e-10,1.0194541749e-10,1.019450834583e-10,1.019629699756e-10
44,7040000.0,1.138880979986e-10,1.019454334283e-10,1.019451016232e-10,1.01964469437e-10
45,7200000.0,1.151916910889e-10,1.019454491149e-10,1.019451196257e-10,1.019660472302e-10
46,7360000.0,1.166001187897e-10,1.0194546456e-10,1.01945137465e-10,1.019677050657e-10
47,7520000.0,1.181186982779e-10,1.019454797726e-10,1.019451551406e-10,1.019694446125e-10
48,7680000.0,1.197528331604e-10,1.019454947614e-10,1.019451726522e-10,1.019712674985e-10
49,7840000.0,1.215080081282e-10,1.019455095342e-10,1.019451899996e-10,1.019731753088e-10
50,8000000.0,1.23389783595e-10,1.019455240984e-10,1.019452071829e-10,1.01975169586e-10
51,8160000.0,1.254037903359e-10,1.019455384608e-10,1.019452242023e-10,1.019772518293e-10
52,8320000.0,1.275557241373e-10,1.019455526277e-10,1.019452410581e-10,1.019794234941e-10
53,8480000.0,1.298513404698e-10,1.019455666051e-10,1.019452577506e-10,1.019816859922e-10
54,8640000.0,1.322964491941e-10,1.019455803985e-10,1.019452742804e-10,1.01984040691e-10
55,8800000.0,1.3489690931e-10,1.01945594013e-10,1.019452906481e-10,1.019864889135e-10
56,8960000.0,1.376586237545e-10,1.019456074535e-10,1.019453068544e-10,1.019890319387e-10
57,9120000.0,1.405875324117e-10,1.019456207245e-10,1.019453229002e-10,1.019916710007e-10
58,9280000.0,1.436895866106e-10,1.019456338303e-10,1.019453387863e-10,1.019944072897e-10
59,9440000.0,1.469708143412e-10,1.019456467749e-10,1.019453545136e-10,1.019972419514e-10
60,9600000.0,1.50437243427e-10,1.01945659562e-10,1.019453700831e-10,1.020001760874e-10
61,9760000.0,1.540949206165e-10,1.019456721952e-10,1.019453854958e-10,1.020032107552e-10
62,9920000.0,1.579499068142e-10,1.019456846779e-10,1.019454007529e-10,1.020063469689e-10
63,10080000.0,1.620082723988e-10,1.019456970133e-10,1.019454158554e-10,1.020095856989e-10
64,10240000.0,1.662760926305e-10,1.019457092044e-10,1.019454308045e-10,1.020129278726e-10
65,10400000.0,1.707594431513e-10,1.01945721254e-10,1.019454456014e-10,1.020163743745e-10
66,10560000.0,1.754643955796e-10,1.019457331648e-10,1.019454602474e-10,1.020199260467e-10
67,10720000.0,1.803970131996e-10,1.019457449395e-10,1.019454747436e-10,1.020235836893e-10
68,10880000.0,1.855633467496e-10,1.019457565806e-10,1.019454890913e-10,1.020273480607e-10
69,11040000.0,1.909694303074e-10,1.019457680903e-10,1.019455032918e-10,1.020312198784e-10
70,11200000.0,1.966212772753e-10,1.019457794709e-10,1.019455173465e-10,1.020351998191e-10
71,11360000.0,2.025248764646e-10,1.019457907246e-10,1.019455312565e-10,1.020392885192e-10
72,11520000.0,2.086861882805e-10,1.019458018535e-10,1.019455450232e-10,1.020434865757e-10
73,11680000.0,2.151111410067e-10,1.019458128594e-10,1.01945558648e-10,1.020477945465e-10
74,11840000.0,2.218056271909e-10,1.019458237444e-10,1.019455721321e-10,1.020522129507e-10
75,12000000.0,2.287755001295e-10,1.019458345103e-10,1.019455854769e-10,1.020567422698e-10
76,12160000.0,2.360265704528e-10,1.019458451588e-10,1.019455986837e-10,1.020613829476e-10
77,12320000.0,2.4356460281e-10,1.019458556915e-10,1.019456117539e-10,1.020661353912e-10
78,12480000.0,2.513953126515e-10,1.019458661103e-10,1.019456246887e-10,1.020709999716e-10
79,12640000.0,2.595243631118e-10,1.019458764165e-10,1.019456374895e-10,1.020759770242e-10
80,12800000.0,2.679573619884e-10,1.019458866119e-10,1.019456501576e-10,1.020810668492e-10
81,12960000.0,2.766998588184e-10,1.019458966978e-10,1.019456626943e-10,1.020862697128e-10
82,13120000.0,2.857573420515e-10,1.019459066757e-10,1.019456751009e-10,1.020915858474e-10
83,13280000.0,2.951352363181e-10,1.01945916547e-10,1.019456873788e-10,1.020970154522e-10
84,13440000.0,3.048388997917e-10,1.019459263131e-10,1.019456995292e-10,1.021025586941e-10
85,13600000.0,3.148736216455e-10,1.019459359752e-10,1.019457115534e-10,1.021082157083e-10
86,13760000.0,3.252446196012e-10,1.019459455347e-10,1.019457234526e-10,1.021139865987e-10
87,13920000.0,3.359570375697e-10,1.019459549929e-10,1.019457352283e-10,1.021198714388e-10
88,14080000.0,3.47015943382e-10,1.01945964351e-10,1.019457468815e-10,1.021258702722e-10
89,14240000.0,3.584263266104e-10,1.019459736101e-10,1.019457584136e-10,1.021319831135e-10
90,14400000.0,3.701930964779e-10,1.019459827714e-10,1.019457698258e-10,1.021382099485e-10
