Cs	Cs_prev	Cs_new
0.0	0.0	0.0
0.0	1.019e-11	1.018964171683e-11
0.0	1.2237906095048205e-11	1.2237475780030002e-11
0.0	1.4697384258215702e-11	1.469686742304e-11
0.0	1.7651149008330077e-11	1.7650528247680002e-11
0.0	2.1198538177982996e-11	2.1197792580950002e-11
0.0	2.545885373645242e-11	2.5457958178670003e-11
0.0	3.057537402495308e-11	3.057429831693e-11
0.0	3.672017233938683e-11	3.6718880201590006e-11
0.0	4.409990391397474e-11	4.4098351742770004e-11
0.0	5.296275592736719e-11	5.296089130855e-11
0.0	6.360679426634714e-11	6.36045541834e-11
0.0	7.638998775648742e-11	7.638729642954e-11
0.0	9.174224698388373e-11	9.173901326082e-11
0.0	1.1017988258464067e-10	1.101759967886e-10
0.0	1.3232296924772027e-10	1.323182993629e-10
0.0	1.5891619939858214e-10	1.589105864491e-10
0.0	1.908539278922281e-10	1.908471803341e-10
0.0	2.2921024999177514e-10	2.292021368929e-10
0.0	2.7527512418271516e-10	2.752653669106e-10
0.0	3.305977546664182e-10	3.305860167291e-10
0.0	3.970386925261443e-10	3.970245671157e-10
0.0	4.768324077758264e-10	4.768154024394e-10
0.0	5.726624366473305e-10	5.726419543423e-10
0.0	6.877516313887657e-10	6.877269469545e-10
0.0	8.25970547757794e-10	8.259407785329e-10
0.0	9.919676153812966e-10	9.9193168428e-10
0.0	1.1913254687306332e-09	1.191282057518e-09
0.0	1.430748696267397e-09	1.430696185974e-09
0.0	1.7182893219365112e-09	1.718225716236e-09
0.0	2.063617602157319e-09	2.063540427928e-09
0.0	2.4783472454651434e-09	2.478253422496e-09
0.0	2.9764259922398243e-09	2.976311660742e-09
0.0	3.5746046900776884e-09	3.574464979905e-09
0.0	4.293000640244322e-09	4.292829358703e-09
0.0	5.155774161068875e-09	5.155563365844e-09
0.0	6.191941121730798e-09	6.191680530002e-09
0.0	7.436348772699602e-09	7.43602493426e-09
0.0	8.93084769090527e-09	8.93044281787e-09
0.0	1.0725699253236212e-08	1.07251895451e-08
0.0	1.2881265972996411e-08	1.2880619193e-08
0.0	1.547004154689596e-08	1.546921347758e-08
0.0	1.857908888492705e-08	1.857801809141e-08
0.0	2.2312968116319047e-08	2.231156813512e-08
0.0	2.679725304311257e-08	2.679540062893e-08
0.0	3.218275430292997e-08	3.218027161012e-08
0.0	3.865059126980035e-08	3.864721867634e-08
0.0	4.6418283265741566e-08	4.641363776385e-08
0.0	5.57470649361622e-08	5.574057635259e-08
0.0	6.695067181190456e-08	6.694148529502e-08
0.0	8.040589152448271e-08	8.039271956288e-08
0.0	9.656523552161449e-08	9.654613648944e-08
0.0	1.1597215744452713e-07	1.159442116318e-07
0.0	1.3927932997509995e-07	1.392381817328e-07
0.0	1.6727059482006927e-07	1.672098375084e-07
0.0	2.0088732403050682e-07	2.00797732427e-07
