U(6)	U(6)_prev	U(6)_new
0.0	0.0	0.000000000000e+00
0.0	1e-13	7.600681883055e-14
0.0	3.162277660168379e-13	2.403549895611e-13
0.0	1e-12	7.600689942872e-13
0.0	3.1622776601683794e-12	2.403571525418e-12
0.0	1e-11	7.600716797891e-12
0.0	3.1622776601683794e-11	2.403473349932e-11
0.0	1e-10	7.600141151939e-11
0.0	3.1622776601683795e-10	2.402936096557e-10
0.0	1e-09	7.594351372535e-10
0.0	3.1622776601683795e-09	2.397214027069e-09
0.0	1e-08	7.537842939026e-09
0.0	3.162277660168379e-08	2.342736333119e-08
1e-13	0.0	2.399219475865e-14
1e-13	1e-13	1.000000065020e-13
1e-13	3.162277660168379e-13	2.643499693578e-13
1e-13	1e-12	7.840696872210e-13
1e-13	3.1622776601683794e-12	2.427564118021e-12
1e-13	1e-11	7.624709544054e-12
1e-13	3.1622776601683794e-11	2.405893933832e-11
1e-13	1e-10	7.602540921997e-11
1e-13	3.1622776601683795e-10	2.403178630792e-10
1e-13	1e-09	7.594622482014e-10
1e-13	3.1622776601683795e-09	2.397238192399e-09
1e-13	1e-08	7.537870857337e-09
1e-13	3.162277660168379e-08	2.342738896583e-08
3.162277660168379e-13	0.0	7.586912550825e-14
3.162277660168379e-13	1e-13	1.518754022536e-13
3.162277660168379e-13	3.162277660168379e-13	3.162278040332e-13
3.162277660168379e-13	1e-12	8.359355469428e-13
3.162277660168379e-13	3.1622776601683794e-12	2.479422867579e-12
3.162277660168379e-13	1e-11	7.676522987281e-12
3.162277660168379e-13	3.1622776601683794e-11	2.411055511937e-11
3.162277660168379e-13	1e-10	7.607729892206e-11
3.162277660168379e-13	3.1622776601683795e-10	2.403686363339e-10
3.162277660168379e-13	1e-09	7.595101975175e-10
3.162277660168379e-13	3.1622776601683795e-09	2.397290444420e-09
3.162277660168379e-13	1e-08	7.537919276019e-09
3.162277660168379e-13	3.162277660168379e-08	2.342744403553e-08
1e-12	0.0	2.399220121194e-13
1e-12	1e-13	3.159298734246e-13
1e-12	3.162277660168379e-13	4.802799434468e-13
1e-12	1e-12	1.000000000000e-12
1e-12	3.1622776601683794e-12	2.643495278952e-12
1e-12	1e-11	7.840644318768e-12
1e-12	3.1622776601683794e-11	2.427497777314e-11
1e-12	1e-10	7.624138859681e-11
1e-12	3.1622776601683795e-10	2.405339495287e-10
1e-12	1e-09	7.596794436944e-10
1e-12	3.1622776601683795e-09	2.397455679883e-09
1e-12	1e-08	7.538091649758e-09
1e-12	3.162277660168379e-08	2.342761967794e-08
3.1622776601683794e-12	0.0	7.587006279139e-13
3.1622776601683794e-12	1e-13	8.347086082929e-13
3.1622776601683794e-12	3.162277660168379e-13	9.990589357856e-13
3.1622776601683794e-12	1e-12	1.518779806531e-12
3.1622776601683794e-12	3.1622776601683794e-12	3.162277660169e-12
3.1622776601683794e-12	1e-11	8.359434839722e-12
3.1622776601683794e-12	3.1622776601683794e-11	2.479389523584e-11
3.1622776601683794e-12	1e-10	7.676028625607e-11
3.1622776601683794e-12	3.1622776601683795e-10	2.410531044813e-10
3.1622776601683794e-12	1e-09	7.601998517554e-10
3.1622776601683794e-12	3.1622776601683795e-09	2.397978201016e-09
3.1622776601683794e-12	1e-08	7.538622110136e-09
3.1622776601683794e-12	3.162277660168379e-08	2.342817397354e-08
